learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,3,0.238,0.877,0.163,0.634552,0
2,8,3,0.201,0.881,0.16,0.001129,0
2,8,4,0.201,0.881,0.16,0.752533,1
2,8,5,0.201,0.881,0.16,0.230499,2
3,10,4,0.215,0.875,0.15,0.702637,0
4,13,0,0.229,0.865,0.154,0.070526,0
4,13,4,0.229,0.865,0.154,0.439606,1
4,13,5,0.229,0.865,0.154,0.355377,2
4,13,6,0.229,0.865,0.154,0.084442,3
4,13,10,0.229,0.865,0.154,0.762054,4
4,13,12,0.229,0.865,0.154,0.733582,5
5,9,2,0.22,0.871,0.172,0.700653,0
6,19,0,0.22,0.863,0.181,0.44397,7
6,19,7,0.22,0.863,0.181,0.851685,96
6,19,14,0.22,0.863,0.181,0.041016,13
7,8,2,0.209,0.866,0.153,0.751617,7
7,8,3,0.209,0.866,0.153,0.621246,96
8,10,4,0.223,0.887,0.165,0.622314,7
8,10,5,0.223,0.887,0.165,0.519379,96
9,13,1,0.199,0.871,0.156,0.842957,7
9,13,7,0.199,0.871,0.156,0.031006,4
9,13,11,0.199,0.871,0.156,0.486267,95
9,13,12,0.199,0.871,0.156,0.085052,2
10,7,2,0.2,0.876,0.158,0.519867,4
11,2,1,0.194,0.867,0.189,0.205261,4
12,19,10,0.221,0.877,0.142,0.242493,69
12,19,13,0.221,0.877,0.142,0.57309,43
13,8,0,0.232,0.87,0.181,0.671265,69
13,8,3,0.232,0.87,0.181,0.103912,43
15,15,3,0.218,0.879,0.17,0.484772,39
15,15,7,0.218,0.879,0.17,0.304871,63
15,15,14,0.218,0.879,0.17,0.162323,46
16,8,2,0.201,0.854,0.167,0.908661,39
17,16,15,0.22,0.885,0.159,0.38797,39
18,10,6,0.213,0.871,0.173,0.136505,39
18,10,9,0.213,0.871,0.173,0.596436,63
20,16,0,0.203,0.875,0.159,0.268341,39
20,16,1,0.203,0.875,0.159,0.856415,63
20,16,8,0.203,0.875,0.159,0.628052,46
20,16,10,0.203,0.875,0.159,0.815887,68
20,16,13,0.203,0.875,0.159,0.353058,10
21,6,5,0.224,0.868,0.161,0.40509,10
22,11,6,0.213,0.886,0.179,0.101685,17
22,11,7,0.213,0.886,0.179,0.626526,3
22,11,8,0.213,0.886,0.179,0.984711,59
24,12,5,0.204,0.882,0.181,0.207184,17
25,15,3,0.222,0.878,0.162,0.221985,17
25,15,8,0.222,0.878,0.162,0.22287,3
25,15,9,0.222,0.878,0.162,0.436646,96
25,15,10,0.222,0.878,0.162,0.519135,83
25,15,14,0.222,0.878,0.162,0.50589,23
26,20,8,0.21,0.877,0.164,0.99826,3
26,20,13,0.21,0.877,0.164,0.362061,96
26,20,14,0.21,0.877,0.164,0.648987,83
27,10,8,0.197,0.884,0.171,0.76358,3
28,20,1,0.222,0.858,0.156,0.67804,3
28,20,10,0.222,0.858,0.156,0.200043,96
28,20,12,0.222,0.858,0.156,0.568848,83
28,20,13,0.222,0.858,0.156,0.063263,23
28,20,19,0.222,0.858,0.156,0.35849,84
29,20,3,0.225,0.848,0.187,0.092407,83
29,20,6,0.225,0.848,0.187,0.080536,3
29,20,12,0.225,0.848,0.187,0.948578,79
30,13,1,0.214,0.883,0.167,0.569763,79
30,13,10,0.214,0.883,0.167,0.335968,84
30,13,12,0.214,0.883,0.167,0.743317,13
31,10,5,0.21,0.878,0.158,0.911346,79
32,15,6,0.224,0.892,0.171,0.230774,79
32,15,11,0.224,0.892,0.171,0.043518,84
32,15,14,0.224,0.892,0.171,0.549347,13
33,22,1,0.215,0.885,0.181,0.69165,79
33,22,4,0.215,0.885,0.181,0.119873,84
33,22,7,0.215,0.885,0.181,0.774353,13
33,22,10,0.215,0.885,0.181,0.661255,60
33,22,13,0.215,0.885,0.181,0.640717,78
33,22,16,0.215,0.885,0.181,0.96283,57
33,22,19,0.215,0.885,0.181,0.81601,6
34,3,1,0.204,0.891,0.151,0.443176,67
