learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),rr,fr,sr,rating,ratingCode
1,4,0,0.238,0.877,0.163,0.392578125,N/A,N/A,N/A,No Recommendation Request
1,4,1,0.238,0.877,0.163,0.472625732,N/A,N/A,N/A,No Recommendation Request
1,4,2,0.238,0.877,0.163,0.847290039,N/A,N/A,N/A,No Recommendation Request
1,4,3,0.238,0.877,0.163,0.605560303,N/A,N/A,N/A,No Recommendation Request
2,8,0,0.201,0.881,0.16,0.366699219,N/A,N/A,N/A,No Recommendation Request
2,8,1,0.201,0.881,0.16,0.990386963,N/A,N/A,N/A,No Recommendation Request
2,8,2,0.201,0.881,0.16,0.002807617,0.882324219,N/A,N/A,No Recommendation Follow
2,8,3,0.201,0.881,0.16,0.249176025,N/A,N/A,N/A,No Recommendation Request
2,8,4,0.201,0.881,0.16,0.621429443,N/A,N/A,N/A,No Recommendation Request
2,8,5,0.201,0.881,0.16,0.81817627,N/A,N/A,N/A,No Recommendation Request
2,8,6,0.201,0.881,0.16,0.459991455,N/A,N/A,N/A,No Recommendation Request
2,8,7,0.201,0.881,0.16,0.41116333,N/A,N/A,N/A,No Recommendation Request
3,10,0,0.215,0.875,0.15,0.697875977,N/A,N/A,N/A,No Recommendation Request
3,10,1,0.215,0.875,0.15,0.260009766,N/A,N/A,N/A,No Recommendation Request
3,10,2,0.215,0.875,0.15,0.370666504,N/A,N/A,N/A,No Recommendation Request
3,10,3,0.215,0.875,0.15,0.762756348,N/A,N/A,N/A,No Recommendation Request
3,10,4,0.215,0.875,0.15,0.116882324,0.057617188,0.918151855,N/A,No Rating Submission
3,10,5,0.215,0.875,0.15,0.133056641,0.404144287,0.529296875,N/A,No Rating Submission
3,10,6,0.215,0.875,0.15,0.679992676,N/A,N/A,N/A,No Recommendation Request
3,10,7,0.215,0.875,0.15,0.63684082,N/A,N/A,N/A,No Recommendation Request
3,10,8,0.215,0.875,0.15,0.841003418,N/A,N/A,N/A,No Recommendation Request
3,10,9,0.215,0.875,0.15,0.601043701,N/A,N/A,N/A,No Recommendation Request
4,13,0,0.229,0.865,0.154,0.894897461,N/A,N/A,N/A,No Recommendation Request
4,13,1,0.229,0.865,0.154,0.149597168,0.855957031,0.948944092,N/A,No Rating Submission
