learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.231201
1,4,0,0.238,0.877,0.163,0.068542
1,4,0,0.238,0.877,0.163,0.607361
1,4,1,0.238,0.877,0.163,0.91806
1,4,2,0.238,0.877,0.163,0.949646
1,4,3,0.238,0.877,0.163,0.977386
2,8,0,0.201,0.881,0.16,0.220001
2,8,1,0.201,0.881,0.16,0.148743
2,8,1,0.201,0.881,0.16,0.058167
2,8,1,0.201,0.881,0.16,0.335022
2,8,2,0.201,0.881,0.16,0.670288
2,8,3,0.201,0.881,0.16,0.63913
2,8,4,0.201,0.881,0.16,0.64505
2,8,5,0.201,0.881,0.16,0.819061
2,8,6,0.201,0.881,0.16,0.863678
2,8,7,0.201,0.881,0.16,0.5737
3,10,0,0.215,0.875,0.15,0.332245
3,10,1,0.215,0.875,0.15,0.426392
3,10,2,0.215,0.875,0.15,0.236847
3,10,3,0.215,0.875,0.15,0.579193
3,10,4,0.215,0.875,0.15,0.003448
3,10,4,0.215,0.875,0.15,0.493317
3,10,4,0.215,0.875,0.15,0.607483
3,10,5,0.215,0.875,0.15,0.668091
3,10,6,0.215,0.875,0.15,0.875519
3,10,7,0.215,0.875,0.15,0.270538
3,10,8,0.215,0.875,0.15,0.825287
3,10,9,0.215,0.875,0.15,0.306305
4,13,0,0.229,0.865,0.154,0.226074
4,13,0,0.229,0.865,0.154,0.554291
4,13,0,0.229,0.865,0.154,0.561188
4,13,1,0.229,0.865,0.154,0.910553
4,13,2,0.229,0.865,0.154,0.460541
4,13,3,0.229,0.865,0.154,0.560333
4,13,4,0.229,0.865,0.154,0.893097
4,13,5,0.229,0.865,0.154,0.068878
4,13,5,0.229,0.865,0.154,0.249939
4,13,5,0.229,0.865,0.154,0.948975
4,13,6,0.229,0.865,0.154,0.174927
4,13,6,0.229,0.865,0.154,0.286224
4,13,6,0.229,0.865,0.154,0.848053
4,13,7,0.229,0.865,0.154,0.707489
4,13,8,0.229,0.865,0.154,0.628876
4,13,9,0.229,0.865,0.154,0.971802
4,13,10,0.229,0.865,0.154,0.832855
4,13,11,0.229,0.865,0.154,0.11322
4,13,11,0.229,0.865,0.154,0.622711
4,13,11,0.229,0.865,0.154,0.680969
4,13,12,0.229,0.865,0.154,0.545441
5,9,0,0.22,0.871,0.172,0.365509
5,9,1,0.22,0.871,0.172,0.10022
5,9,1,0.22,0.871,0.172,0.623016
5,9,1,0.22,0.871,0.172,0.349243
5,9,2,0.22,0.871,0.172,0.341675
5,9,3,0.22,0.871,0.172,0.866272
5,9,4,0.22,0.871,0.172,0.494385
5,9,5,0.22,0.871,0.172,0.158813
5,9,5,0.22,0.871,0.172,0.522125
5,9,5,0.22,0.871,0.172,0.076324
5,9,5,0.22,0.871,0.172,0.403473
5,9,6,0.22,0.871,0.172,0.461975
5,9,7,0.22,0.871,0.172,0.973145
5,9,8,0.22,0.871,0.172,0.235779
6,19,0,0.22,0.863,0.181,0.816498
6,19,1,0.22,0.863,0.181,0.56543
6,19,2,0.22,0.863,0.181,0.962891
6,19,3,0.22,0.863,0.181,0.082092
6,19,3,0.22,0.863,0.181,0.177704
6,19,3,0.22,0.863,0.181,0.943756
6,19,4,0.22,0.863,0.181,0.734161
6,19,5,0.22,0.863,0.181,0.44809
6,19,6,0.22,0.863,0.181,0.182495
6,19,6,0.22,0.863,0.181,0.916168
6,19,7,0.22,0.863,0.181,0.603699
6,19,8,0.22,0.863,0.181,0.450439
6,19,9,0.22,0.863,0.181,0.301971
6,19,10,0.22,0.863,0.181,0.078613
6,19,10,0.22,0.863,0.181,0.874756
6,19,11,0.22,0.863,0.181,0.450317
6,19,12,0.22,0.863,0.181,0.521729
6,19,13,0.22,0.863,0.181,0.896057
6,19,14,0.22,0.863,0.181,0.527252
6,19,15,0.22,0.863,0.181,0.857269
6,19,16,0.22,0.863,0.181,0.585114
6,19,17,0.22,0.863,0.181,0.737091
6,19,18,0.22,0.863,0.181,0.545746
7,8,0,0.209,0.866,0.153,0.106293
7,8,0,0.209,0.866,0.153,0.329102
7,8,0,0.209,0.866,0.153,0.247437
7,8,1,0.209,0.866,0.153,0.369263
7,8,2,0.209,0.866,0.153,0.118866
7,8,2,0.209,0.866,0.153,0.269897
7,8,2,0.209,0.866,0.153,0.51593
7,8,3,0.209,0.866,0.153,0.834808
7,8,4,0.209,0.866,0.153,0.337341
7,8,5,0.209,0.866,0.153,0.855957
7,8,6,0.209,0.866,0.153,0.14505
7,8,6,0.209,0.866,0.153,0.356567
7,8,6,0.209,0.866,0.153,0.698273
7,8,7,0.209,0.866,0.153,0.29068
8,10,0,0.223,0.887,0.165,0.463989
8,10,1,0.223,0.887,0.165,0.411926
8,10,2,0.223,0.887,0.165,0.623535
8,10,3,0.223,0.887,0.165,0.58313
8,10,4,0.223,0.887,0.165,0.309448
8,10,5,0.223,0.887,0.165,0.675598
8,10,6,0.223,0.887,0.165,0.843903
8,10,7,0.223,0.887,0.165,0.076019
8,10,7,0.223,0.887,0.165,0.685516
8,10,7,0.223,0.887,0.165,0.921051
8,10,8,0.223,0.887,0.165,0.872528
8,10,9,0.223,0.887,0.165,0.082275
8,10,9,0.223,0.887,0.165,0.321686
8,10,9,0.223,0.887,0.165,0.685669
9,13,0,0.199,0.871,0.156,0.276764
9,13,1,0.199,0.871,0.156,0.991425
9,13,2,0.199,0.871,0.156,0.391907
9,13,3,0.199,0.871,0.156,0.755829
9,13,4,0.199,0.871,0.156,0.924255
9,13,5,0.199,0.871,0.156,0.576691
9,13,6,0.199,0.871,0.156,0.483185
9,13,7,0.199,0.871,0.156,0.114197
9,13,7,0.199,0.871,0.156,0.643097
9,13,7,0.199,0.871,0.156,0.001953
9,13,7,0.199,0.871,0.156,0.989929
9,13,8,0.199,0.871,0.156,0.44751
9,13,9,0.199,0.871,0.156,0.821777
9,13,10,0.199,0.871,0.156,0.639221
9,13,11,0.199,0.871,0.156,0.863464
9,13,12,0.199,0.871,0.156,0.563416
10,7,0,0.2,0.876,0.158,0.385803
10,7,1,0.2,0.876,0.158,0.151825
10,7,1,0.2,0.876,0.158,0.796967
10,7,1,0.2,0.876,0.158,0.72995
10,7,2,0.2,0.876,0.158,0.74585
10,7,3,0.2,0.876,0.158,0.471619
10,7,4,0.2,0.876,0.158,0.227478
10,7,5,0.2,0.876,0.158,0.616089
10,7,6,0.2,0.876,0.158,0.030487
10,7,6,0.2,0.876,0.158,0.87915
11,2,0,0.194,0.867,0.189,0.261078
11,2,1,0.194,0.867,0.189,0.111694
11,2,1,0.194,0.867,0.189,0.238403
11,2,1,0.194,0.867,0.189,0.989349
12,19,0,0.221,0.877,0.142,0.911987
12,19,1,0.221,0.877,0.142,0.336578
12,19,2,0.221,0.877,0.142,0.755188
12,19,3,0.221,0.877,0.142,0.864685
12,19,4,0.221,0.877,0.142,0.314484
12,19,5,0.221,0.877,0.142,0.315857
12,19,6,0.221,0.877,0.142,0.791077
12,19,7,0.221,0.877,0.142,0.681702
12,19,8,0.221,0.877,0.142,0.833008
12,19,9,0.221,0.877,0.142,0.986481
12,19,10,0.221,0.877,0.142,0.876068
12,19,11,0.221,0.877,0.142,0.131531
12,19,11,0.221,0.877,0.142,0.776276
12,19,11,0.221,0.877,0.142,0.787262
12,19,12,0.221,0.877,0.142,0.155731
12,19,12,0.221,0.877,0.142,0.546387
12,19,12,0.221,0.877,0.142,0.798126
12,19,13,0.221,0.877,0.142,0.754486
12,19,14,0.221,0.877,0.142,0.957977
