learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
1,4,0,0,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.317508256
1,4,0,1,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.265161992
1,4,0,2,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.436492323
1,4,0,3,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.253543299
1,4,0,4,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.409515037
1,4,0,5,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.280937734
1,4,0,6,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.303292063
1,4,0,7,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.49643022
1,4,0,8,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.271373904
1,4,0,9,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.403100024
1,4,0,10,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.255965581
1,4,0,11,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.255300922
1,4,0,12,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.345610838
1,4,0,13,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.487359997
1,4,0,14,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.260929709
1,4,0,15,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.279022229
1,4,0,16,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.264058662
1,4,0,17,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.266509411
1,4,0,18,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.254830492
1,4,0,19,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.294209525
1,4,0,20,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.295797323
1,4,0,21,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.421405811
1,4,0,22,0.238,0.877,0.163,0.212921143,0.732910156,0.142486572,0,0.26981364
